广州,2015-3-5,25.00,16.00
广州,2015-3-6,17.00,10.00
广州,2015-3-7,38.00,24.00
广州,2015-3-8,90.00,67.00
广州,2015-3-9,89.00,67.00
广州,2015-3-10,40.00,28.00
广州,2015-3-11,31.00,22.00
广州,2015-3-12,26.00,15.00
广州,2015-3-13,48.00,33.00
广州,2015-3-14,76.00,56.00
广州,2015-3-15,66.00,47.00
广州,2015-3-16,53.00,37.00
广州,2015-3-17,42.00,28.00
广州,2015-3-18,48.00,31.00
广州,2015-3-19,52.00,35.00
广州,2015-3-20,51.00,33.00
广州,2015-3-21,67.00,49.00
广州,2015-3-22,82.00,60.00
广州,2015-3-23,57.00,40.00
广州,2015-3-24,29.00,17.00
广州,2015-3-25,47.00,32.00
广州,2015-3-26,34.00,24.00
广州,2015-3-27,45.00,22.00
广州,2015-3-28,60.00,43.00
广州,2015-3-29,73.00,48.00
广州,2015-3-30,52.00,33.00
广州,2015-3-31,43.00,25.00
广州,2015-4-1,42.00,24.00
广州,2015-4-2,39.00,21.00
广州,2015-4-3,39.00,20.00
广州,2015-4-4,33.00,17.00
广州,2015-4-5,49.00,24.00
广州,2015-4-6,83.00,33.00
广州,2015-4-7,64.00,46.00
广州,2015-4-8,21.00,12.00
广州,2015-4-9,34.00,24.00
广州,2015-4-10,22.00,13.00
广州,2015-4-11,34.00,24.00
广州,2015-4-12,57.00,41.00
广州,2015-4-13,89.00,61.00
广州,2015-4-14,102.00,32.00
广州,2015-4-15,136.00,50.00
广州,2015-4-16,170.00,55.00
广州,2015-4-17,88.00,44.00
广州,2015-4-18,54.00,31.00
广州,2015-4-19,56.00,36.00
广州,2015-4-20,42.00,27.00
广州,2015-4-21,55.00,22.00
广州,2015-4-22,69.00,35.00
广州,2015-4-23,71.00,52.00
广州,2015-4-24,71.00,52.00
广州,2015-4-25,121.00,92.00
广州,2015-4-26,89.00,66.00
广州,2015-4-27,110.00,59.00
广州,2015-4-28,93.00,40.00
广州,2015-4-29,99.00,49.00
广州,2015-4-30,89.00,43.00
广州,2015-5-1,37.00,17.00
广州,2015-5-2,28.00,15.00
广州,2015-5-3,66.00,27.00
广州,2015-5-4,62.00,30.00
广州,2015-5-5,37.00,23.00
广州,2015-5-6,37.00,25.00
广州,2015-5-7,31.00,20.00
广州,2015-5-8,36.00,19.00
广州,2015-5-9,39.00,25.00
广州,2015-5-10,46.00,28.00
广州,2015-5-11,37.00,23.00
广州,2015-5-12,75.00,17.00
广州,2015-5-13,61.00,37.00
广州,2015-5-14,40.00,22.00
广州,2015-5-15,34.00,16.00
广州,2015-5-16,33.00,21.00
广州,2015-5-17,42.00,30.00
广州,2015-5-18,40.00,21.00
广州,2015-5-19,41.00,22.00
广州,2015-5-20,32.00,22.00
广州,2015-5-21,33.00,23.00
广州,2015-5-22,49.00,34.00
广州,2015-5-23,44.00,31.00
广州,2015-5-24,67.00,49.00
广州,2015-5-25,99.00,70.00
广州,2015-5-26,45.00,27.00
广州,2015-5-27,46.00,26.00
广州,2015-5-28,61.00,25.00
广州,2015-5-29,64.00,26.00
广州,2015-5-30,57.00,24.00
广州,2015-5-31,43.00,30.00
广州,2015-6-1,44.00,26.00
广州,2015-6-2,34.00,18.00
广州,2015-6-3,50.00,18.00
广州,2015-6-4,55.00,21.00
广州,2015-6-5,39.00,23.00
广州,2015-6-6,63.00,34.00
广州,2015-6-7,36.00,16.00
广州,2015-6-8,44.00,18.00
广州,2015-6-9,47.00,19.00
广州,2015-6-10,36.00,21.00
广州,2015-6-11,37.00,21.00
广州,2015-6-12,49.00,27.00
广州,2015-6-13,47.00,26.00
广州,2015-6-14,31.00,18.00
广州,2015-6-15,51.00,18.00
广州,2015-6-16,54.00,23.00
广州,2015-6-17,58.00,20.00
广州,2015-6-18,84.00,21.00
广州,2015-6-19,73.00,18.00
广州,2015-6-20,55.00,18.00
广州,2015-6-21,43.00,18.00
广州,2015-6-22,28.00,15.00
广州,2015-6-23,32.00,14.00
广州,2015-6-24,28.00,16.00
广州,2015-6-25,53.00,21.00
广州,2015-6-26,69.00,21.00
广州,2015-6-27,62.00,19.00
广州,2015-6-28,68.00,20.00
广州,2015-6-29,89.00,21.00
广州,2015-6-30,86.00,26.00
广州,2015-7-1,77.00,25.00
广州,2015-7-2,86.00,25.00
广州,2015-7-3,85.00,27.00
广州,2015-7-4,78.00,26.00
广州,2015-7-5,48.00,32.00
广州,2015-7-6,50.00,23.00
广州,2015-7-7,55.00,23.00
广州,2015-7-8,50.00,23.00
广州,2015-7-9,40.00,22.00
广州,2015-7-10,39.00,15.00
广州,2015-7-11,65.00,35.00
广州,2015-7-12,101.00,45.00
广州,2015-7-13,159.00,72.00
广州,2015-7-14,155.00,35.00
广州,2015-7-15,117.00,27.00
广州,2015-7-16,91.00,36.00
广州,2015-7-17,74.00,42.00
广州,2015-7-18,52.00,29.00
广州,2015-7-19,58.00,36.00
广州,2015-7-20,46.00,32.00
广州,2015-7-21,45.00,19.00
广州,2015-7-22,44.00,25.00
广州,2015-7-23,43.00,22.00
广州,2015-7-24,43.00,19.00
广州,2015-7-25,44.00,22.00
广州,2015-7-26,38.00,19.00
广州,2015-7-27,41.00,21.00
广州,2015-7-28,46.00,21.00
广州,2015-7-29,42.00,21.00
广州,2015-7-30,41.00,22.00
广州,2015-7-31,48.00,20.00
广州,2015-8-1,86.00,23.00
广州,2015-8-2,75.00,18.00
广州,2015-8-3,85.00,28.00
广州,2015-8-4,134.00,34.00
广州,2015-8-5,172.00,47.00
广州,2015-8-6,200.00,46.00
广州,2015-8-7,104.00,46.00
广州,2015-8-8,76.00,49.00
广州,2015-8-9,60.00,42.00
广州,2015-8-10,61.00,36.00
广州,2015-8-11,62.00,39.00
广州,2015-8-12,104.00,37.00
广州,2015-8-13,49.00,26.00
广州,2015-8-14,57.00,29.00
广州,2015-8-15,62.00,31.00
广州,2015-8-16,75.00,37.00
广州,2015-8-17,51.00,28.00
广州,2015-8-18,81.00,28.00
广州,2015-8-19,115.00,31.00
广州,2015-8-20,68.00,49.00
广州,2015-8-21,77.00,36.00
广州,2015-8-22,82.00,41.00
广州,2015-8-23,95.00,48.00
广州,2015-8-24,112.00,55.00
广州,2015-8-25,110.00,50.00
广州,2015-8-26,115.00,64.00
广州,2015-8-27,139.00,52.00
